2c9ecf8 | AnveshCheela | 2025-10-09 | Merge branch 'main' into Anvesh i want the updated databases schema
8d52133 | AnveshCheela | 2025-05-08 | Verifier side
aa750a2 | AnveshCheela | 2025-05-07 | Merge branch 'endsem' of https://github.com/NeverConquered/Gymrats into endsem
7b00815 | AnveshCheela | 2025-05-07 | few edits  in edi_nutri and trainer_lo
d70d97f | AnveshCheela | 2025-05-07 | edit_nutritional_plan
b0a63b2 | AnveshCheela | 2025-05-07 | removing forgot password
b90ef2a | AnveshCheela | 2025-05-07 | Merge branch 'endsem' of https://github.com/NeverConquered/Gymrats into endsem
dedec4f | AnveshCheela | 2025-05-07 | trainer_login
44c70f0 | AnveshCheela | 2025-05-04 | Merge branch 'endsem' of https://github.com/NeverConquered/Gymrats into endsem
f42258d | AnveshCheela | 2025-05-04 | user schema
7c6c14a | AnveshCheela | 2025-05-04 | Rename adminControllers.js to adminController.js
a49c49b | AnveshCheela | 2025-03-18 | Update userdashboard_p.ejs
9a58a4c | AnveshCheela | 2025-03-18 | Update userdashboard_g.ejs
f72ea26 | AnveshCheela | 2025-03-18 | Update verifer.css
61072b1 | AnveshCheela | 2025-03-18 | Update verifier.ejs
1115579 | AnveshCheela | 2025-03-18 | Update verifier_form.ejs
18c90ec | AnveshCheela | 2025-03-18 | Add files via upload
03aa19a | AnveshCheela | 2025-03-18 | Update verifier_form.ejs
0836cec | AnveshCheela | 2025-03-18 | Add files via upload
1468b1a | AnveshCheela | 2025-03-18 | Add files via upload
eb99900 | AnveshCheela | 2025-03-18 | Merge branch 'main' of https://github.com/NeverConquered/Gymrats
5a67579 | AnveshCheela | 2025-03-18 | change to ejs
300ebde | AnveshCheela | 2025-03-18 | Update userdashboard_g.html
